date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2018-04-25,2018-04-25,19:05,19:07,18mu03439,maplewood hall,harassment,Monmouth University
2018-04-27,2018-04-26,11:00,15:10,18mu03487,lot 1,theft,Monmouth University
2018-04-29,2018-04-29,21:19,21:19,18mu03553,cedar hall,criminal mischief/daup,Monmouth University
2018-04-27,2018-04-30,10:00,13:50,18mu03572,lot 14,criminal mischief,Monmouth University
2018-05-01,NA,22:00,12:52,18mu03598,lot 12,criminal mischief,Monmouth University
2018-04-21,NA,23:40,15:01,18mu03307,student center,theft,Monmouth University
2018-05-02,2018-05-02,14:17,14:17,18mu03628,wilson hall,defiant trespass,Monmouth University
2018-05-07,2018-05-07,14:30,22:37,18mu03764,dining hall,theft,Monmouth University
2018-05-09,NA,12:00,17:25,18mu03809,cedar hall,theft,Monmouth University
2018-05-19,2018-05-19,13:30,13:30,18mu04027,estate road,criminal mischief,Monmouth University
2018-05-25,2018-05-25,14:39,14:39,18mu04174,wilson hall,bad checks,Monmouth University
2018-06-14,2018-06-14,14:10,14:10,18mu04676,bookstore,fraud,Monmouth University
2018-06-18,NA,15:00,14:16,18mu04797,oakwood hall,theft (bicycle $50),Monmouth University
2018-06-29,NA,NA,13:30,18mu05079,health center,theft (prescription pad),Monmouth University
2018-06-25,2018-06-25,22:31,22:31,18mu04999,garden apts,student misconduct,Monmouth University
2018-07-02,2018-07-02,01:00,01:00,18mu05126,willow hall,theft \ criminal mischief,Monmouth University
2018-07-02,2018-07-02,21:19,21:19,18mu05143,library,burglary,Monmouth University
2018-07-09,2018-07-09,16:24,16:24,18mu05284,maplewood hall,student misconduct,Monmouth University
2018-07-11,2018-07-06,16:46,11:00,18mu05335,monmouth university,"wrongful impersonation, computer crim. act.",Monmouth University
2018-08-07,2018-08-07,06:00,20:45,18mu05976,willow hall,burglary/theft,Monmouth University
2018-08-08,2018-08-08,12:30,12:30,18mu05997,NA,student misconduct,Monmouth University
2018-08-27,2018-08-25,09:00,12:45,18mu06465,plangere,student misconduct,Monmouth University
NA,2018-09-03,20:00,08:30,18mu06625,ofbc,theft,Monmouth University
