incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Possess Marijuana,2018-0227,2018-10-22,12:48,2018-10-23,12:48,Osprey Cove,University of North Florida
Grand Theft,2018-0216,2018-10-16,12:33,2018-10-04,14:59,1 UNF Dr,University of North Florida
Operating While DL revoked,2018-0224,2018-10-15,19:11,2018-10-15,19:11,UNF Dr at Garage 38,University of North Florida
Possess Drugs and,2018-0223,2018-10-13,17:35,2018-10-13,17:35,1 UNF Dr,University of North Florida
Vandalism,2018-0222,2018-10-10,17:05,2018-10-10,17:05,Bldg 51,University of North Florida
Sexual Violence,NA,NA,NA,NA,NA,On-Campus Housing,University of North Florida
Sexual Violence,NA,NA,NA,NA,NA,On-Campus Housing Unreported Crime,University of North Florida
Possess Marijuana,2018-0217,2018-10-05,14:07,2018-10-05,14:07,Osprey Fountain Cleared by arrest,University of North Florida
Grand Theft,2018-0216,2018-10-04,14:59,NA,NA,Bldg 12 Open,University of North Florida
Domestic Dispute with violence,2018-0213,2018-10-01,19:35,2018-09-30,23:00,4850 First Coast Tech Open,University of North Florida
Bicycle Theft,2018-0207,2018-09-28,12:57,2018-09-27,23:30,Osprey Crossings Suspended,University of North Florida
Vandalism,2018-0204,2018-09-20,00:39,2018-09-19,18:35,1 UNF Dr/Lot 44 Suspended,University of North Florida
POSSESSION OF marijuana,2018-0203,2018-09-19,18:04,2018-09-19,16:41,Alumni Dr and 1 UNF Cleared by arrest,University of North Florida
Vandelism,2018-0201,2018-09-19,03:45,2018-09-18,17:00,Lot 55 Suspended,University of North Florida
Person Injured,2018-0197,2018-09-17,18:59,2018-09-17,17:30,pathway between Suspended,University of North Florida
Theft,2018-0196,2018-09-14,07:41,2018-09-14,07:41,1 UNF Dr Exceptionally,University of North Florida
Petit Theft,2018-0195,2018-09-13,09:00,2018-09-12,20:50,Lot 18 Suspended,University of North Florida
Possess Drug,2018-0194,2018-09-12,23:15,2018-09-12,23:15,Osprey Fountain S517 Cleared by arrest,University of North Florida
Grand Theft,2018-0193,2018-09-12,13:00,2018-09-12,12:00,Bldg 39/3092 Suspended,University of North Florida
Possess Marijuana,2018-0192,2018-09-10,23:21,2018-09-10,11:21,Osprey Landing Cleared by arrest,University of North Florida
Petit Theft,2018-0190,2018-09-08,20:45,2018-09-08,19:00,Outside Osprey Suspended,University of North Florida
Petit Theft,2018-0188,2018-09-04,11:16,2018-09-03,14:00,Osprey Flats Suspended,University of North Florida
Possession of,2018-0186,2018-08-30,18:30,2018-08-30,18:30,UNF Dr Cleared by arrest,University of North Florida
Petit Theft,2018-0183,2018-08-24,10:42,2018-08-23,18:00,Bldg 10,University of North Florida
Possess Controlled substance,2018-0179,2018-08-22,13:51,2018-08-22,16:42,1 UNF Dr,University of North Florida
