date_reported,incident,time_occurred,case_number,date_occurred,time_reported,location,university
2017-05-14,"destruction / damage / vandalism of property, off campus, 8 winthrop st, med/som",01:30,17tum‐325‐of,2017-05-13,NA,NA,Tufts University
2017-05-15,"larceny, other type, off campus, maxwells green , somerville",09:00,17tum‐328‐of,2017-04-19,NA,NA,Tufts University
2017-05-17,"burglary / breaking and entering, off campus, college ave, somerville",01:00,17tum‐331‐of,2017-05-17,NA,NA,Tufts University
2017-05-23,"trespass of real property, off campus, 105 college ave, med/som",19:17,17tum‐34‐ar,2017-05-23,NA,NA,Tufts University
2017-05-23,"trespass of real property, off campus, 105 college ave, med/som",19:25,17tum‐35‐ar,2017-05-23,NA,NA,Tufts University
2017-05-22,"larceny, other type, off campus, 40 talbot ave, med/som",14:00,17tum‐348‐of,2017-05-22,NA,NA,Tufts University
2017-05-18,"drinking games (university policy), off campus, 80 professors row, med/som",17:08,17tum‐339‐of,2017-05-18,NA,NA,Tufts University
2017-06-06,"theft from building, off campus, 28 capen st, med/som",15:00,17tum‐357‐of,2017-06-03,NA,NA,Tufts University
2017-06-05,"pocket‐picking, off campus, 161 college ave, med/som",19:42,17tum‐356‐of,2017-06-05,NA,NA,Tufts University
2018-05-30,"burglary / breaking and entering, off campus, 387 boston ave, med/som",01:00,18tum‐348‐of,2018-05-29,NA,NA,Tufts University
2018-05-22,"theft from building, off campus, 14 edison ave, med/som",12:48,18tum‐342‐of,2018-05-22,NA,NA,Tufts University
2018-05-22,"larceny, other type, off campus, hampshire st, methuen",01:30,18tum‐344‐of,2018-05-17,NA,NA,Tufts University
2018-05-18,"false pretenses / swindle / confidence game, off campus, 15 talbot ave, med/som",14:47,18tum‐327‐of,2018-04-29,NA,NA,Tufts University
2018-05-15,"theft from building, off campus, 163 college ave, med/som",14:01,18tum‐317‐of,2018-05-14,NA,NA,Tufts University
2018-05-14,"theft from building, off campus, 163 college ave, med/som",15:00,18tum‐316‐of,2018-05-13,NA,NA,Tufts University
2018-05-12,"theft from building, off campus, 56 professors row, med/som",08:34,18tum‐314‐of,2018-05-12,NA,NA,Tufts University
2018-05-11,"theft from building, off campus, 35 professors row, med/som",11:30,18tum‐310‐of,2018-05-11,NA,NA,Tufts University
2018-05-10,"destruction / damage / vandalism of property, off campus, 11 winthrop st, med/som",12:18,18tum‐306‐of,2018-05-10,NA,NA,Tufts University
2018-05-10,"theft from building, off campus, 574 boston ave, med/som",13:00,18tum‐307‐of,2018-05-09,NA,NA,Tufts University
2018-05-05,"disorderly conduct, off campus, 43 latin way, med/som",03:18,18tum‐293‐of,2018-05-05,NA,NA,Tufts University
2018-05-03,"disorderly conduct, off campus, adams st, medford",17:41,18tum‐285‐of,2018-05-02,NA,NA,Tufts University
2018-04-29,"trash deposited in inland waters, off campus, 1375 mystic valley pkwy, med/som",19:30,18tum‐277‐of,2018-04-29,NA,NA,Tufts University
2018-04-27,"theft from building, off campus, 163 college ave, med/som",12:00,18tum‐263‐of,2018-04-27,NA,NA,Tufts University
2018-04-17,"false pretenses / swindle / confidence game, off campus, 20 sawyer ave, med/som",13:00,18tum‐239‐of,2018-04-17,NA,NA,Tufts University
2018-04-10,"credit card / automatic teller machine fraud, off campus, 10 winthrop st, med/som",00:00,18tum‐225‐of,2018-03-22,NA,NA,Tufts University
2018-04-09,"theft from building, off campus, 12 upper campus rd, med/som",17:00,18tum‐222‐of,2018-04-06,NA,NA,Tufts University
