year,university,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor
2016,University of Iowa,"Public, 4-year or above",1,0,0,0,0,57,625,0,0,1,0,0,0,0,49,624
2016,University of Kansas,"Public, 4-year or above",1,0,0,0,0,56,729,0,0,0,0,0,0,0,47,709
2016,University of Kentucky,"Public, 4-year or above",1,0,0,0,0,48,456,0,0,0,0,0,0,0,43,455
2016,University of Louisiana at Lafayette,"Public, 4-year or above",1,0,0,0,0,47,7,0,0,0,0,0,0,0,28,6
2016,University of Michigan-Ann Arbor,"Public, 4-year or above",1,0,2,0,0,362,1603,0,0,10,0,0,0,0,360,1594
2016,University of Mississippi,"Public, 4-year or above",1,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0
2016,University of Missouri-Columbia,"Public, 4-year or above",1,0,0,5,0,0,792,0,0,3,0,0,0,0,0,770
2016,University of Nebraska-Lincoln,"Public, 4-year or above",1,0,2,3,0,209,470,0,3,3,0,0,0,0,199,431
2016,University of Nevada-Reno,"Public, 4-year or above",1,0,0,0,0,46,131,0,0,0,0,0,0,0,44,128
2016,University of New Mexico-Main Campus,"Public, 4-year or above",1,0,0,0,8,73,227,0,0,0,0,0,0,6,72,227
2016,University of Pittsburgh-Pittsburgh Campus,"Public, 4-year or above",1,0,0,5,0,124,248,0,2,3,0,0,0,0,89,240
2016,University of South Carolina-Columbia,"Public, 4-year or above",1,0,0,1,0,85,634,0,0,0,0,0,0,0,67,571
2016,University of Southern California,"Private nonprofit, 4-year or above",2,3,6,135,3,31,485,0,0,1,0,0,0,1,31,456
2016,University of Vermont,"Public, 4-year or above",1,0,0,8,1,393,587,0,4,34,0,0,0,1,287,509
2016,University of Virginia-Main Campus,"Public, 4-year or above",1,0,0,3,0,25,580,0,0,16,0,0,0,0,14,532
2016,University of Wisconsin-Madison,"Public, 4-year or above",1,0,11,7,0,325,1517,0,1,32,0,0,0,0,301,1183
2016,Washington State University,"Public, 4-year or above",1,0,0,0,1,246,390,0,0,0,0,0,0,0,180,345
2016,West Virginia University,"Public, 4-year or above",1,0,0,16,0,146,1604,0,1,25,0,0,0,0,134,1534
2017,Albany State University,"Public, 4-year or above",1,0,0,0,0,25,35,0,0,0,0,0,0,0,24,32
2017,Arkansas State University-Main Campus,"Public, 4-year or above",1,0,0,0,1,32,119,0,3,2,0,0,0,0,22,78
2017,Ball State University,"Public, 4-year or above",1,0,3,7,0,104,396,0,3,1,0,0,0,0,84,383
2017,California Polytechnic State University-San Luis Obispo,"Public, 4-year or above",1,0,0,0,1,5,292,0,0,0,0,0,0,0,4,290
2017,California State University-Chico,"Public, 4-year or above",1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2017,Clemson University,"Public, 4-year or above",1,0,0,0,0,31,407,0,3,7,0,0,0,0,22,383
2017,College of Charleston,"Public, 4-year or above",1,0,0,0,0,49,133,0,0,0,0,0,0,0,48,131
2017,Delaware State University,"Public, 4-year or above",1,0,0,0,16,137,60,0,0,0,0,0,0,12,121,41
2017,DePauw University,"Private nonprofit, 4-year or above",2,0,3,7,0,51,84,0,0,1,0,0,0,0,33,81
2017,East Carolina University,"Public, 4-year or above",1,0,0,0,0,17,325,0,5,2,0,0,0,0,13,300
