incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Theft                             ,2016-00023819,12-05-2016,0:24,Ball State University,NA,NA,NA
Assist Other Agency - Battery     ,2016-00023824,12-05-2016,2:09,Ball State University,NA,NA,NA
Theft                             ,2016-00023845,12-05-2016,5:00,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023881,12-06-2016,0:17,Ball State University,NA,NA,NA
Intoxicated Person                ,2016-00023889,12-06-2016,3:15,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023907,12-06-2016,0:30,Ball State University,NA,NA,NA
Counterfeiting                    ,2016-00023941,12-06-2016,0:00,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00023949,12-06-2016,1:13,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00023995,12-07-2016,5:00,Ball State University,NA,NA,NA
Subject Causing Trouble                   ,2016-00024015,12-07-2016,3:28,Ball State University,NA,NA,NA
Assist Other Agency                       ,2016-00024019,12-08-2016,0:37,Ball State University,NA,NA,NA
Theft                                     ,2016-00024079,12-08-2016,8:15,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024082,12-08-2016,8:54,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024091,12-08-2016,0:20,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024099,12-08-2016,1:00,Ball State University,NA,NA,NA
Theft                                     ,2016-00024126,12-09-2016,7:45,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024161,12-09-2016,5:18,Ball State University,NA,NA,NA
Battery                                   ,2016-00024164,12-09-2016,5:55,Ball State University,NA,NA,NA
Identity Deception                        ,2016-00024168,12-09-2016,6:09,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024191,12-09-2016,2:12,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024192,12-09-2016,2:13,Ball State University,NA,NA,NA
Intoxicated Driver                        ,2016-00024198,12-10-2016,0:29,Ball State University,NA,NA,NA
Assist Other Agency-Criminal Recklessness ,2016-00024207,12-10-2016,1:55,Ball State University,NA,NA,NA
Intoxicated Person                        ,2016-00024208,12-10-2016,2:10,Ball State University,NA,NA,NA
Harassment                                ,2016-00024251,12-11-2016,0:49,Ball State University,NA,NA,NA
Illegal Possession of alcohol             ,2016-00024257,12-11-2016,2:54,Ball State University,NA,NA,NA
Rape                                      ,2016-00024262,12-11-2016,3:30,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024310,12-11-2016,2:39,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024286,12-11-2016,6:18,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024348,12-12-2016,9:30,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024388,12-12-2016,2:33,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024418,12-13-2016,0:09,Ball State University,NA,NA,NA
Theft                                     ,2016-00024420,12-13-2016,0:53,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024461,12-13-2016,1:05,Ball State University,NA,NA,NA
Theft                                     ,2016-00024464,12-13-2016,0:00,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024465,12-14-2016,0:22,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024467,12-14-2016,1:04,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024471,12-14-2016,2:33,Ball State University,NA,NA,NA
Assist Other Agency (Burglary)            ,2016-00024529,12-14-2016,9:57,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024536,12-14-2016,3:03,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024538,12-15-2016,0:01,Ball State University,NA,NA,NA
Intimidation                              ,2016-00024556,12-15-2016,8:14,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024571,12-15-2016,2:06,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024592,12-15-2016,6:20,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024615,12-15-2016,9:52,Ball State University,NA,NA,NA
Counterfeiting                            ,2016-00024626,12-15-2016,3:37,Ball State University,NA,NA,NA
Theft                                     ,2016-00024721,12-17-2016,0:58,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024725,12-17-2016,3:16,Ball State University,NA,NA,NA
Burglary                                  ,2016-00024750,12-18-2016,0:15,Ball State University,NA,NA,NA
Burglary                                  ,2016-00024775,12-18-2016,2:30,Ball State University,NA,NA,NA
Burglary                                  ,2016-00024789,12-18-2016,0:30,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024823,12-19-2016,9:43,Ball State University,NA,NA,NA
Theft                                     ,2016-00024831,12-19-2016,8:30,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024877,12-20-2016,9:21,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00024918,12-21-2016,1:23,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00024957,12-21-2016,4:32,Ball State University,NA,NA,NA
Burglary                                  ,2016-00025009,12-22-2016,1:42,Ball State University,NA,NA,NA
Auto Theft                                ,2016-00025020,12-22-2016,8:00,Ball State University,NA,NA,NA
Assist other agency-criminal mischief     ,2016-00025208,12-25-2016,5:42,Ball State University,NA,NA,NA
Burglary                                  ,2016-00025295,12-27-2016,6:46,Ball State University,NA,NA,NA
Criminal Mischief                         ,2016-00025350,12-28-2016,7:03,Ball State University,NA,NA,NA
Theft from Vehicle                        ,2016-00025389,12-29-2016,4:00,Ball State University,NA,NA,NA
Intoxicated Person                        ,2016-00025503,12-30-2016,7:30,Ball State University,NA,NA,NA
Narcotics                                 ,2016-00025588,12-31-2016,1:07,Ball State University,NA,NA,NA
Assist other agency-Tresspass             ,2017-00000023,01-01-2017,1:20,Ball State University,NA,NA,NA
Assist Other Agency-Burglary              ,2017-00000074,01-02-2017,0:04,Ball State University,NA,NA,NA
Assist other agency-Tresspass             ,2017-00000078,01-03-2017,0:28,Ball State University,NA,NA,NA
Assist other agency-Confinement           ,2017-00000079,01-03-2016,1:14,Ball State University,NA,NA,NA
Intoxicated Driver                        ,2017-00000258,01-05-2017,0:31,Ball State University,NA,NA,NA
Burglary                                  ,2017-00000362,01-07-2017,3:24,Ball State University,NA,NA,NA
Theft                                     ,2017-00000373,01-07-2017,9:42,Ball State University,NA,NA,NA
Disorderly Conduct                        ,2017-00000388,01-07-2017,1:39,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000421,01-08-2017,2:26,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000423,01-09-2017,0:15,Ball State University,NA,NA,NA
Theft                                     ,2017-00000459,01-09-2017,9:30,Ball State University,NA,NA,NA
Theft                                     ,2017-00000480,01-09-2017,4:00,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000498,01-10-2017,0:13,Ball State University,NA,NA,NA
Criminal Mischief                         ,2017-00000543,01-10-2017,4:11,Ball State University,NA,NA,NA
Theft                                     ,2017-00000549,01-10-2017,5:40,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000569,01-10-2017,0:58,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000577,01-11-2017,0:40,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000596,01-11-2017,7:03,Ball State University,NA,NA,NA
Theft                                     ,2017-00000599,01-11-2017,9:19,Ball State University,NA,NA,NA
Robbery                                   ,2017-00000607,01-11-2017,0:30,Ball State University,NA,NA,NA
Leaving Scene of Accident                 ,2017-00000617,01-11-2017,2:38,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000630,01-11-2017,5:37,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000650,01-12-2017,0:19,Ball State University,NA,NA,NA
Leaving Scene of Accident                 ,2017-00000704,01-12-2017,6:02,Ball State University,NA,NA,NA
Leaving Scene of Accident                 ,2017-00000707,01-12-2017,7:13,Ball State University,NA,NA,NA
Battery                                   ,2017-00000709,01-12-2017,2:00,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000720,01-12-2017,1:08,Ball State University,NA,NA,NA
Intoxicated Driver                        ,2017-00000721,01-12-2017,1:23,Ball State University,NA,NA,NA
Intoxicated Person                        ,2017-00000725,01-13-2017,0:48,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000735,01-13-2017,2:15,Ball State University,NA,NA,NA
Intoxicated Person                        ,2017-00000736,01-13-2017,3:05,Ball State University,NA,NA,NA
Assist Other Agency - domestic            ,2017-00000759,01-13-2017,1:07,Ball State University,NA,NA,NA
Theft - Bicycle                           ,2017-00000766,01-13-2017,2:13,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000783,01-13-2017,6:06,Ball State University,NA,NA,NA
Public Indecency                          ,2017-00000803,01-13-2017,0:56,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000805,01-13-2017,1:11,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000808,01-13-2017,2:12,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000810,01-14-2017,0:01,Ball State University,NA,NA,NA
Narcotics                                 ,2017-00000811,01-14-2017,0:05,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft from Vehicle                     ,2017-00000813,01-14-2017,0:30,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000818,01-14-2017,1:28,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000819,01-14-2017,1:45,Ball State University,NA,NA,NA
Narcotics                              ,2017-00000821,01-14-2017,1:48,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000824,01-14-2017,3:17,Ball State University,NA,NA,NA
Narcotics                              ,2017-00000851,01-14-2017,3:38,Ball State University,NA,NA,NA
Narcotics                              ,2017-00000854,01-14-2017,6:40,Ball State University,NA,NA,NA
Narcotics                              ,2017-00000857,01-14-2017,9:23,Ball State University,NA,NA,NA
Assist Other Agency- Theft             ,2017-00000859,01-14-2017,3:14,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000868,01-15-2017,1:56,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000871,01-15-2017,2:18,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000872,01-15-2017,3:04,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000873,01-15-2017,3:07,Ball State University,NA,NA,NA
Theft - Vehicle                        ,2017-00000891,01-15-2017,5:34,Ball State University,NA,NA,NA
Narcotics                              ,2017-00000898,01-15-2017,7:31,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000912,01-16-2017,0:34,Ball State University,NA,NA,NA
Sexual Assault                         ,2017-00000914,01-16-2017,1:31,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000916,01-16-2017,2:12,Ball State University,NA,NA,NA
Intoxicated Person                     ,2017-00000920,01-16-2017,5:17,Ball State University,NA,NA,NA
Theft                                  ,2017-00000941,01-16-2017,7:24,Ball State University,NA,NA,NA
Harassment                             ,2017-00000943,01-16-2017,8:06,Ball State University,NA,NA,NA
Assist Other Agency-fuel spill         ,2017-00000947,01-16-2017,0:07,Ball State University,NA,NA,NA
Sexual Assault                         ,2017-00000948,01-16-2017,1:34,Ball State University,NA,NA,NA
Intimidation                           ,2017-00000963,01-17-2017,8:14,Ball State University,NA,NA,NA
Theft                                  ,2017-00000971,01-17-2017,9:00,Ball State University,NA,NA,NA
Narcotics                              ,2017-00001016,01-17-2017,3:35,Ball State University,NA,NA,NA
Narcotics                              ,2017-00001071,01-18-2017,1:25,Ball State University,NA,NA,NA
Narcotics                              ,2017-00001074,01-18-2017,2:25,Ball State University,NA,NA,NA
Narcotics                              ,2017-00001082,01-19-2017,0:46,Ball State University,NA,NA,NA
