incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Traffic Stop              ,2015-00010931,08-07-2015,2:14,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010935,08-08-2015,1:32,Ball State University,NA,NA,NA
Check Welfare             ,2015-00010937,08-08-2015,3:28,Ball State University,NA,NA,NA
Speak to Officer          ,2015-00010946,08-08-2015,1:04,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010948,08-08-2015,2:53,Ball State University,NA,NA,NA
Assist                    ,2015-00010951,08-08-2015,4:40,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010953,08-08-2015,6:28,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010956,08-08-2015,8:14,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010957,08-08-2015,8:22,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010968,08-09-2015,1:09,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00010969,08-09-2015,1:39,Ball State University,NA,NA,NA
Attempted Theft           ,2015-00011018,08-10-2015,0:46,Ball State University,NA,NA,NA
Indecent Exposure         ,2015-00011038,08-10-2015,8:44,Ball State University,NA,NA,NA
Theft                     ,2015-00011048,08-11-2015,0:41,Ball State University,NA,NA,NA
Assist Agency             ,2015-00011101,08-11-2015,3:04,Ball State University,NA,NA,NA
Theft                     ,2015-00011118,08-12-2015,1:00,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00011122,08-12-2015,1:04,Ball State University,NA,NA,NA
Theft                     ,2015-00011136,08-12-2015,8:32,Ball State University,NA,NA,NA
Battery                   ,2015-00011213,08-14-2015,2:53,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00011249,08-15-2015,0:49,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00011251,08-15-2015,1:23,Ball State University,NA,NA,NA
Battery                   ,2015-00011285,08-15-2015,2:53,Ball State University,NA,NA,NA
Theft                     ,2015-00011287,08-16-2015,0:06,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00011292,08-16-2015,1:43,Ball State University,NA,NA,NA
Theft                     ,2015-00011306,08-16-2015,6:10,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00011324,08-17-2015,0:35,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00011325,08-17-2015,1:20,Ball State University,NA,NA,NA
Possession Stolen Vehicle ,2015-00011370,08-17-2015,8:22,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00011382,08-18-2015,0:08,Ball State University,NA,NA,NA
Intoxicated Driver        ,2015-00011388,08-18-2015,4:59,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle ,2015-00011427,08-18-2015,0:27,Ball State University,NA,NA,NA
Harassment                ,2015-00011497,08-20-2015,0:45,Ball State University,NA,NA,NA
Theft                     ,2015-00011515,08-20-2015,6:21,Ball State University,NA,NA,NA
Theft                     ,2015-00011546,08-20-2015,3:24,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00011552,08-21-2015,0:49,Ball State University,NA,NA,NA
Narcotics                 ,2015-00011554,08-21-2015,1:17,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00011557,08-21-2015,2:16,Ball State University,NA,NA,NA
Battery                   ,2015-00011597,08-21-2015,0:13,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00011612,08-22-2015,0:20,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00011620,08-22-2015,0:58,Ball State University,NA,NA,NA
Indecent Exposure         ,2015--00011625,08-22-2015,1:36,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00011629,08-22-2015,2:17,Ball State University,NA,NA,NA
Assist Agency (OWI)       ,2015-00011633,08-22-2015,2:45,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00011634,08-22-2015,2:47,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle ,2015-00011638,08-22-2015,5:04,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00011642,08-22-2015,8:12,Ball State University,NA,NA,NA
Burglary                  ,2015-00011643,08-22-2015,8:12,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00011645,08-22-2015,2:01,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00011649,08-22-2015,5:13,Ball State University,NA,NA,NA
Narcotics                 ,2015-00011658,08-22-2015,1:35,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00011660,08-22-2015,2:00,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00011677,08-23-2015,2:03,Ball State University,NA,NA,NA
Battery                     ,2015-00011683,08-23-2015,3:05,Ball State University,NA,NA,NA
Theft                       ,2015-00011705,08-23-2015,7:20,Ball State University,NA,NA,NA
Traffic Stop (OWI)          ,2015-00011709,08-23-2015,8:55,Ball State University,NA,NA,NA
Theft                       ,2015-00011732,08-24-2015,9:21,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00011750,08-24-2015,5:10,Ball State University,NA,NA,NA
Resisting Law Enforcement   ,2015-00011763,08-24-2015,8:37,Ball State University,NA,NA,NA
Rape                        ,2015-00011776,08-25-2015,0:21,Ball State University,NA,NA,NA
Attempted Sexual Assault    ,2015-00011876,08-26-2015,9:39,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00011877,08-26-2015,9:57,Ball State University,NA,NA,NA
Battery                     ,2015-00011844,08-26-2015,1:29,Ball State University,NA,NA,NA
Narcotics                   ,2015-00011887,08-26-2015,2:14,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00011892,08-27-2015,1:16,Ball State University,NA,NA,NA
Theft                       ,2015-00011914,08-27-2015,3:17,Ball State University,NA,NA,NA
Theft                       ,2015-00011916,08-27-2015,5:19,Ball State University,NA,NA,NA
Narcotics                   ,2015-00011945,08-27-2015,3:34,Ball State University,NA,NA,NA
Traffic Stop                ,2015-00011958,08-28-2015,3:16,Ball State University,NA,NA,NA
Theft                       ,2015-00011983,08-28-2015,8:25,Ball State University,NA,NA,NA
Narcotics                   ,2015-00011986,08-28-2015,0:05,Ball State University,NA,NA,NA
Narcotics                   ,2015-00011988,08-28-2015,1:04,Ball State University,NA,NA,NA
Theft                       ,2015-00012028,08-29-2015,2:31,Ball State University,NA,NA,NA
Narcotics                   ,2015-00012037,08-29-2015,0:07,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00012056,08-30-2015,1:13,Ball State University,NA,NA,NA
Battery                     ,2015-00012066,08-30-2015,3:15,Ball State University,NA,NA,NA
Narcotics                   ,2015-00012067,08-30-2015,3:34,Ball State University,NA,NA,NA
Sexual Assault              ,2015-00012079,08-30-2015,3:29,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00012082,08-30-2015,4:44,Ball State University,NA,NA,NA
Theft                       ,2015-00012085,08-30-2015,7:01,Ball State University,NA,NA,NA
Driving Suspended           ,2015-00012087,08-30-2015,8:31,Ball State University,NA,NA,NA
Driving Suspended           ,2015-00012099,08-30-2015,1:18,Ball State University,NA,NA,NA
Ambulance Only              ,2015-00012117,08-31-2015,8:29,Ball State University,NA,NA,NA
Vehicle Burglary            ,2015-00012136,08-31-2015,2:00,Ball State University,NA,NA,NA
Accident with Injuries      ,2015-00012141,08-31-2015,3:57,Ball State University,NA,NA,NA
Accident Hit and Run        ,2015-00012142,08-31-2015,2:25,Ball State University,NA,NA,NA
Ambulance Only              ,2015-00012169,08-31-2015,1:00,Ball State University,NA,NA,NA
Theft                       ,2015-00012219,09-01-2015,7:22,Ball State University,NA,NA,NA
Voyerism                    ,2015-00012233,09-01-2015,2:53,Ball State University,NA,NA,NA
Battery                     ,2015-00012238,09-02-2015,1:39,Ball State University,NA,NA,NA
